poisonous,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,poisonous_readable,cap_shape_readable,cap_surface_readable,cap_color_readable,bruises_readable,odor_readable,gill_attachment_readable,gill_spacing_readable,gill_size_readable,gill_color_readable,stalk_shape_readable,stalk_root_readable,stalk_surface_above_ring_readable,stalk_surface_below_ring_readable,stalk_color_above_ring_readable,stalk_color_below_ring_readable,veil_type_readable,veil_color_readable,ring_number_readable,ring_type_readable,spore_print_color_readable,population_readable,habitat_readable,has_bruises,cap_shape_cap_color,bruises_cap_surface,gill_color_veil_color,cap_shape_te,cap_surface_te,cap_color_te,stalk_root_te,veil_color_te,odor_te,habitat_te,population_te,gill_color_te,cap_shape_cap_color_te,bruises_cap_surface_te,gill_color_veil_color_te
e,x,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,False,convex,fibrous,white,no_bruises,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,False,convex_white,no_bruises_fibrous,black_white,0.3998011,0.3497014,0.35771066,0.23684211,0.38833967,0.034591194,0.4094794,0.3453145,0.1462585,0.37386018,0.60505164,0.1462585
e,f,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,False,flat,smooth,brown,no_bruises,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,False,flat_brown,no_bruises_smooth,pink_white,0.4084173,0.44769403,0.11875,0.23684211,0.38833967,0.034591194,0.4094794,0.3453145,0.4720244,0.110526316,0.21385542,0.4720244
e,f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,False,flat,smooth,white,no_bruises,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,False,flat_white,no_bruises_smooth,pink_white,0.4084173,0.44769403,0.35771066,0.23684211,0.38833967,0.034591194,0.4094794,0.0,0.4720244,0.45771143,0.21385542,0.4720244
e,f,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,False,flat,fibrous,brown,has_bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,1,pendant,brown,solitary,woods,True,flat_brown,has_bruises_fibrous,pink_white,0.4084173,0.3497014,0.11875,0.49775112,0.38833967,0.034591194,0.27022377,0.39549002,0.4720244,0.110526316,0.0,0.4720244
e,x,y,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,False,convex,scaly,red,has_bruises,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray,partial,white,1,pendant,brown,solitary,woods,True,convex_red,has_bruises_scaly,white_white,0.3998011,0.3926499,0.022277229,0.49775112,0.38833967,0.034591194,0.27022377,0.39549002,0.2346041,0.015,0.114643544,0.23122239
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,False,convex,scaly,yellow,has_bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,1,pendant,brown,scattered,grasses,True,convex_yellow,has_bruises_scaly,white_white,0.3998011,0.3926499,0.62516916,0.0,0.38833967,0.0,0.4094794,0.3453145,0.2346041,0.6236559,0.114643544,0.23122239
e,f,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,False,flat,smooth,brown,no_bruises,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,False,flat_brown,no_bruises_smooth,chocolate_white,0.4084173,0.44769403,0.11875,0.23684211,0.38833967,0.034591194,0.4094794,0.3453145,0.7494866,0.110526316,0.21385542,0.7494866
e,f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,False,flat,fibrous,gray,no_bruises,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,solitary,urban,False,flat_gray,no_bruises_fibrous,brown_white,0.4084173,0.3497014,0.49194232,0.23684211,0.38833967,0.034591194,0.7663934,0.39549002,0.108270675,0.486535,0.60505164,0.108270675
p,f,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p,True,flat,scaly,gray,no_bruises,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,buff,partial,white,1,large,chocolate,several,paths,False,flat_gray,no_bruises_scaly,pink_white,0.4084173,0.3926499,0.49194232,0.49775112,0.38833967,1.0,0.7554479,0.50454545,0.4720244,0.486535,0.9551657,0.4720244
e,f,y,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,False,flat,scaly,red,has_bruises,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray,partial,white,1,pendant,black,several,woods,True,flat_red,has_bruises_scaly,purple_white,0.4084173,0.3926499,0.022277229,0.49775112,0.38833967,0.034591194,0.27022377,0.50454545,0.102639295,0.01,0.114643544,0.102639295
